"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"X1","shapiro caminhada","shapiro rml","shapiro controle","Bartlett all","ANOVA p-value","Krustal-Wallis p-value","shapiro residuals","Normal Residuals","Tuckey rml-caminhada","Tuckey controle-caminhada","Tuckey controle-rml","Chi-Squared for Menopause","Chi-Squared for IMC","two-way ANOVA for Grupo and IMC","two-way ANOVA for Grupo and Menopausa"
"idade","0.0279784317","0.0814307232","0.0159989380","0.5832306841","0.5729151990","0.6704093393","0.0003797372","0.0000000000","0.8078253374","0.5457385192","0.9033209682",NA,NA,"0.5775931007","0.4581928623"
"imc","0.0844912687","0.0119316350","0.0279790781","0.8459079562","0.9197794394","0.9400737903","0.0002747397","0.0000000000","0.9943162498","0.9180540760","0.9539964588",NA,NA,"0.6279775880","0.9194876893"
"imccat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.5445518","0.7305710",NA,NA
"tempdo","9.880120e-06","1.788570e-07","5.525284e-03","1.636347e-03","4.513591e-01","3.923521e-02","1.170431e-10","0.000000e+00","7.852134e-01","4.177818e-01","8.187610e-01",NA,NA,"4.487792e-01","4.505563e-01"
"menop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.5445518","0.7305710",NA,NA
"fiq0","0.02206045","0.25968721","0.47566231","0.76498166","0.54948765","0.68097411","0.18100331","1.00000000","0.55889908","0.98017291","0.67852004",NA,NA,"0.55543158","0.54792732"
"eav0","1.254810e-04","4.251580e-05","2.017913e-03","8.018070e-01","7.289285e-01","4.902279e-01","2.191443e-07","0.000000e+00","9.915713e-01","8.098132e-01","7.383485e-01",NA,NA,"7.262019e-01","7.315133e-01"
"cfunc0","0.5598039","0.3181178","0.4719425","0.9236105","0.7480280","0.7426528","0.4082582","1.0000000","0.9012230","0.7279929","0.9431383",NA,NA,"0.7454628","0.7488726"
"aspfis0","1.048960e-06","2.562831e-07","9.244997e-07","4.003895e-01","6.779584e-01","8.603744e-01","1.862044e-11","0.000000e+00","6.973186e-01","7.585288e-01","9.943522e-01",NA,NA,"6.795944e-01","6.730763e-01"
"dor0","0.01562774","0.06846743","0.06018203","0.49141606","0.29230846","0.33239458","0.07259972","1.00000000","0.31808886","0.97974010","0.42079177",NA,NA,"0.29219665","0.29119226"
"estger0","0.09319655","0.53934401","0.65842620","0.60031190","0.56907220","0.75629882","0.34290855","1.00000000","0.81439435","0.89453033","0.54061189",NA,NA,"0.57135930","0.57275428"
"vit0","0.2001481","0.6700348","0.3689913","0.9224405","0.4392529","0.4021537","0.1388874","1.0000000","0.4061717","0.7678658","0.8206883",NA,NA,"0.4455181","0.4430107"
"aspsoc0","0.30437286","0.07701647","0.04002285","0.55150040","0.24414142","0.22457430","0.17099950","1.00000000","0.22168485","0.53801317","0.81681727",NA,NA,"0.24446628","0.24746714"
"emoc0","1.514726e-04","8.170700e-06","3.660643e-05","5.423850e-01","1.743735e-01","1.972483e-01","4.471043e-07","0.000000e+00","2.911948e-01","1.976127e-01","9.722040e-01",NA,NA,"1.810798e-01","1.777316e-01"
"sment0","0.04639365","0.68647938","0.30429650","0.88687663","0.58889014","0.46189089","0.15824291","1.00000000","0.64556623","0.64556623","1.00000000",NA,NA,"0.59069593","0.59069284"
"t6min0","0.4921800","0.2474776","0.1814704","0.1277932","0.5069113","0.4300214","0.8939951","1.0000000","0.8260323","0.4740543","0.8308345",NA,NA,"0.5038838","0.5106297"
